city;yr;mo;da;latitude;prcp_dia;tmax;tmin;med_temp
Barra do Turvo;2008;10;1;24;9.0;18.2;12.5;15.479166666666666
Barra do Turvo;2008;10;10;24;0.8;18.8;11.8;14.866666666666667
Barra do Turvo;2008;10;11;24;6.0;20.9;12.8;15.933333333333337
Barra do Turvo;2008;10;12;24;0.0;26.7;14.0;19.2
Barra do Turvo;2008;10;13;24;0.2;29.3;14.9;21.399999999999995
Barra do Turvo;2008;10;14;24;0.0;32.3;15.4;22.53333333333333
Barra do Turvo;2008;10;15;24;2.2;31.8;16.7;21.183333333333337
Barra do Turvo;2008;10;16;24;11.999999999999998;25.1;17.0;18.733333333333338
Barra do Turvo;2008;10;17;24;12.2;18.5;15.3;17.07916666666667
Barra do Turvo;2008;10;18;24;20.599999999999994;17.8;14.0;15.237500000000002
Barra do Turvo;2008;10;19;24;7.200000000000002;18.8;13.9;15.458333333333336
Barra do Turvo;2008;10;2;24;11.199999999999998;26.8;16.0;19.575
Barra do Turvo;2008;10;20;24;6.800000000000002;21.5;14.5;16.729166666666668
Barra do Turvo;2008;10;21;24;1.5999999999999999;24.0;16.2;18.337500000000002
Barra do Turvo;2008;10;22;24;0.0;28.0;17.0;21.5
Barra do Turvo;2008;10;23;24;0.0;29.3;16.9;21.879166666666666
Barra do Turvo;2008;10;24;24;11.0;27.6;16.9;20.304166666666664
Barra do Turvo;2008;10;25;24;1.4000000000000001;23.6;18.0;19.233333333333334
Barra do Turvo;2008;10;26;24;0.6000000000000001;28.7;16.8;21.487499999999997
Barra do Turvo;2008;10;27;24;8.4;27.9;17.1;21.545833333333334
Barra do Turvo;2008;10;28;24;2.2;19.4;14.8;16.266666666666666
Barra do Turvo;2008;10;29;24;6.0;18.5;15.3;16.595833333333335
Barra do Turvo;2008;10;3;24;0.2;23.9;12.0;17.7
Barra do Turvo;2008;10;30;24;0.6000000000000001;25.3;14.2;18.304166666666667
Barra do Turvo;2008;10;31;24;4.4;17.0;14.0;15.495833333333332
Barra do Turvo;2008;10;4;24;35.4;19.5;14.9;16.483333333333338
Barra do Turvo;2008;10;5;24;23.6;20.3;13.8;15.791666666666664
Barra do Turvo;2008;10;6;24;1.0;15.8;12.7;13.887500000000001
Barra do Turvo;2008;10;7;24;0.0;23.0;12.5;16.425
Barra do Turvo;2008;10;8;24;6.8;16.3;11.3;12.85
Barra do Turvo;2008;10;9;24;5.400000000000001;15.5;10.5;12.199999999999998
Barra do Turvo;2008;11;1;24;1.4000000000000001;20.5;13.9;16.15416666666667
Barra do Turvo;2008;11;10;24;3.4000000000000004;25.8;17.8;20.275
Barra do Turvo;2008;11;11;24;33.400000000000006;20.5;16.8;18.12083333333333
Barra do Turvo;2008;11;12;24;7.000000000000001;20.1;14.5;16.69583333333333
Barra do Turvo;2008;11;13;24;3.600000000000001;20.0;14.4;16.625
Barra do Turvo;2008;11;14;24;9.2;25.7;14.8;18.47083333333333
Barra do Turvo;2008;11;15;24;0.0;30.5;16.8;21.92916666666667
Barra do Turvo;2008;11;16;24;4.0;22.4;14.5;17.991666666666664
Barra do Turvo;2008;11;17;24;8.6;18.4;13.7;15.258333333333335
Barra do Turvo;2008;11;18;24;3.6;20.1;15.2;16.504166666666666
Barra do Turvo;2008;11;19;24;0.6000000000000001;20.8;0.0;15.433333333333335
Barra do Turvo;2008;11;2;24;34.4;21.0;15.4;16.8875
Barra do Turvo;2008;11;20;24;1.5999999999999999;21.8;10.9;15.579166666666666
Barra do Turvo;2008;11;21;24;5.0;19.2;0.0;15.174999999999999
Barra do Turvo;2008;11;22;24;4.0;18.7;0.0;10.983333333333334
Barra do Turvo;2008;11;23;24;1.5999999999999999;18.6;0.0;11.2125
Barra do Turvo;2008;11;24;24;0.4;19.5;0.0;10.829166666666666
Barra do Turvo;2008;11;25;24;2.8000000000000003;18.8;0.0;9.191666666666665
