MO;pHCaCl2;K;Ca;Mg;H+Al;Al;S;B;Cu;Fe;Mn;Zn;SB;CTC_efetiva;CTC_total;V
19.0;4.0;1.2;5.0;3.0;65.0;7.0;73.0;0.7;3.8;7.0;22.0;1.3;9.2;16.2;74.2;12.398921832884096
20.0;3.7;1.5;9.0;2.0;88.0;16.0;82.0;0.46;8.2;16.0;33.0;2.9;12.5;28.5;100.5;12.437810945273633
20.0;4.0;1.5;5.0;1.0;61.0;13.0;56.0;0.69;6.5;16.0;16.0;2.1;7.5;20.5;68.5;10.948905109489052
20.0;4.0;1.6;5.0;2.0;64.0;7.0;53.0;0.19;6.0;15.0;24.7;1.9;8.6;15.6;72.6;11.84573002754821
19.0;4.1;1.6;10.0;2.0;54.0;14.0;79.0;0.97;8.9;21.0;30.2;2.0;13.6;27.6;67.6;20.118343195266274
16.0;4.1;1.5;6.0;1.0;47.0;11.0;42.0;0.37;4.2;12.0;10.0;1.4;8.5;19.5;55.5;15.315315315315313
18.0;4.1;1.4;8.0;3.0;64.0;11.0;37.0;0.25;6.0;19.0;25.6;2.0;12.4;23.4;76.4;16.230366492146597
17.0;4.1;1.6;6.0;3.0;81.0;15.0;35.0;0.47;6.1;11.0;23.0;2.0;10.6;25.6;91.6;11.572052401746726
17.0;4.2;1.6;6.0;3.0;80.0;14.0;33.0;0.45;6.1;11.0;23.0;1.9;10.6;24.6;90.6;11.699779249448124
17.0;4.0;1.4;9.0;1.0;77.0;5.0;48.0;0.22;5.5;10.0;10.6;2.2;11.4;16.4;88.4;12.895927601809953
25.0;4.0;1.3;4.0;1.0;71.0;14.0;95.0;0.87;6.5;13.0;28.2;2.0;6.3;20.3;77.3;8.15006468305304
24.0;3.9;1.3;8.0;2.0;81.0;16.0;70.0;0.54;3.8;10.0;20.1;2.2;11.3;27.3;92.3;12.242686890574216
30.0;4.0;1.5;5.0;2.0;79.0;13.0;36.0;0.76;5.8;14.0;22.2;2.0;8.5;21.5;87.5;9.714285714285714
21.0;4.2;1.6;5.0;3.0;63.0;12.0;42.0;0.59;4.8;12.0;11.1;1.8;9.6;21.6;72.6;13.223140495867769
23.0;3.9;1.7;7.0;3.0;74.0;17.0;50.0;0.31;6.2;23.0;21.8;1.8;11.7;28.7;85.7;13.65227537922987
20.0;4.1;1.7;6.0;3.0;55.0;13.0;39.0;0.56;5.0;12.0;7.8;1.6;10.7;23.7;65.7;16.28614916286149
21.0;4.2;1.5;10.0;4.0;98.0;3.0;9.0;0.24;7.9;16.0;22.0;2.3;15.5;18.5;113.5;13.656387665198238
21.0;3.9;1.6;8.0;2.0;72.0;14.0;78.0;0.84;5.1;11.0;24.2;1.6;11.6;25.6;83.6;13.875598086124402
19.0;4.0;1.7;6.0;1.0;99.0;14.0;63.0;0.55;5.9;15.0;13.9;2.1;8.7;22.7;107.7;8.077994428969358
19.0;3.9;1.6;9.0;2.0;72.0;15.0;59.0;0.4;6.6;16.0;24.4;2.3;12.6;27.6;84.6;14.893617021276595
22.0;4.0;1.5;6.0;2.0;62.0;13.0;62.0;0.8;6.0;12.0;20.0;1.9;9.5;22.5;71.5;13.286713286713287
20.0;4.1;1.3;7.0;3.0;80.0;14.0;68.0;0.65;5.4;13.0;14.9;3.2;11.3;25.3;91.3;12.376779846659366
20.0;4.0;1.5;7.0;2.0;75.0;13.0;59.0;0.4;6.0;13.0;23.3;2.0;10.5;23.5;85.5;12.280701754385964
22.0;4.0;1.3;9.0;4.0;68.0;14.0;61.0;0.89;6.0;18.0;16.0;2.0;14.3;28.3;82.3;17.375455650060758
22.0;4.1;1.6;7.0;2.0;19.0;11.0;55.0;0.87;5.6;18.0;15.0;1.8;10.6;21.6;29.6;35.81081081081081
20.0;4.1;1.5;6.0;1.0;83.0;9.0;53.0;0.59;6.6;13.0;14.3;2.0;8.5;17.5;91.5;9.289617486338798
20.0;4.1;1.2;5.0;2.0;97.0;13.0;46.0;0.71;4.5;12.0;12.1;1.9;8.2;21.2;105.2;7.794676806083649
18.0;4.0;1.5;6.0;1.0;65.0;15.0;57.0;0.66;7.1;18.0;32.7;2.3;8.5;23.5;73.5;11.564625850340136
24.0;3.9;1.6;6.0;2.0;98.0;20.0;63.0;0.49;7.1;17.0;21.9;2.1;9.6;29.6;107.6;8.921933085501859
22.0;3.9;1.6;5.0;2.0;88.0;19.0;68.0;0.43;7.2;19.0;21.4;2.5;8.6;27.6;96.6;8.902691511387163
21.0;4.0;1.7;6.0;2.0;70.0;12.0;50.0;0.56;7.0;14.0;14.8;1.8;9.7;21.7;79.7;12.170639899623586
19.0;4.0;1.6;5.0;2.0;68.0;12.0;55.0;0.66;6.4;14.0;16.0;1.9;8.6;20.6;76.6;11.22715404699739
20.0;4.1;1.5;5.0;2.0;73.0;10.0;35.0;0.47;6.8;14.0;11.4;1.8;8.5;18.5;81.5;10.429447852760736
19.0;4.2;1.6;6.0;2.0;68.0;13.0;53.0;0.31;6.4;14.0;19.6;2.0;9.6;22.6;77.6;12.371134020618557
22.0;3.9;1.3;6.0;2.0;80.0;13.0;51.0;0.51;6.9;19.0;20.6;1.9;9.3;22.3;89.3;10.414333706606945
19.0;4.0;1.5;5.0;2.0;65.0;15.0;58.0;0.73;7.6;17.0;26.7;2.0;8.5;23.5;73.5;11.564625850340136
17.0;4.0;1.7;5.0;2.0;65.0;13.0;6.0;0.45;6.4;12.0;0.7;2.0;8.7;21.7;73.7;11.80461329715061
21.0;4.0;1.4;6.0;1.0;88.0;12.0;56.0;0.57;6.4;18.0;19.2;2.1;8.4;20.4;96.4;8.71369294605809
23.0;4.1;1.1;5.0;1.0;65.0;19.0;65.0;0.82;2.6;2.0;5.8;0.9;7.1;26.1;72.1;9.847434119278779
26.0;3.9;0.9;4.0;2.0;61.0;11.0;59.0;0.98;6.7;15.0;22.0;2.0;6.9;17.9;67.9;10.1620029455081
20.0;3.9;1.4;6.0;1.0;82.0;12.0;62.0;0.61;6.8;18.0;13.3;2.0;8.4;20.4;90.4;9.292035398230087
21.0;4.0;1.4;6.0;1.0;88.0;11.0;59.0;0.57;7.5;18.0;12.0;2.0;8.4;19.4;96.4;8.71369294605809
23.0;4.0;1.3;5.0;1.0;72.0;14.0;74.0;0.4;6.5;17.0;16.0;2.6;7.3;21.3;79.3;9.205548549810844
22.0;4.0;1.0;3.0;1.0;77.0;11.0;80.0;0.43;6.7;19.0;17.5;3.0;5.0;16.0;82.0;6.097560975609756
21.0;4.0;1.4;7.0;3.0;74.0;12.0;72.0;0.58;5.1;19.0;17.4;2.0;11.4;23.4;85.4;13.34894613583138
18.0;4.0;1.7;7.0;1.0;76.0;13.0;73.0;0.59;7.0;14.0;22.8;2.4;9.7;22.7;85.7;11.318553092182029
20.0;4.0;1.4;7.0;2.0;75.0;8.0;58.0;0.56;6.6;14.0;40.0;2.0;10.4;18.4;85.4;12.177985948477751
17.0;4.1;1.4;4.0;2.0;76.0;12.0;40.0;0.43;5.8;12.0;18.3;2.1;7.4;19.4;83.4;8.872901678657074
21.0;4.1;0.9;8.0;3.0;61.0;13.0;59.0;0.68;5.2;41.0;11.6;1.9;11.9;24.9;72.9;16.323731138545952
