k;N;Ca;P;Mg;class
46.68;459.34;176.07;31.35;53.89;Ruim
404.52;418.61;154.62;4.71;87.78;Pessimo
488.53;93.23;31.44;5.59;38.88;Ruim
426.90;67.86;13.54;83.37;11.04;Ruim
16.25;227.57;134.96;92.45;40.87;Ruim
108.90;407.38;31.66;90.88;28.95;Ruim
249.93;330.93;94.91;55.50;88.51;Ruim
329.94;96.90;25.82;20.90;82.46;Ruim
163.93;277.73;176.54;71.15;96.98;Ruim
299.52;453.74;96.97;75.90;98.71;Ruim
120.88;26.60;93.01;82.68;91.65;Ruim
177.18;475.93;11.79;83.04;94.52;Ruim
181.61;457.46;83.05;6.56;20.62;Ruim
346.68;339.29;15.71;77.64;15.92;Ruim
398.14;412.83;102.40;72.04;76.31;Ruim
409.26;379.43;12.86;96.22;76.26;Pessimo
173.86;73.56;54.25;71.12;30.36;Bom
221.81;385.64;117.54;66.83;16.85;Ruim
190.86;206.53;129.65;90.67;93.16;Ruim
267.79;481.25;122.26;16.79;48.06;Ruim
23.55;317.16;151.51;52.41;99.62;Ruim
380.32;34.98;174.41;6.47;36.64;Ruim
137.98;338.34;185.41;66.38;36.32;Bom
406.86;445.49;178.40;14.53;16.91;Ruim
16.64;161.54;55.46;91.08;22.80;Bom
244.16;396.12;17.23;13.02;94.42;Pessimo
197.52;200.60;67.55;59.97;35.57;Bom
445.12;181.94;3.38;20.47;28.09;Ruim
4.37;365.70;153.31;91.39;14.96;Ruim
306.24;403.14;136.12;36.48;25.45;Ruim
460.58;415.64;39.11;77.07;91.40;Ruim
6.39;96.13;10.46;58.60;62.87;Ruim
285.50;165.79;42.24;10.81;84.56;Ruim
225.15;434.13;23.80;61.08;5.21;Ruim
116.42;474.55;13.90;89.65;82.05;Ruim
379.18;33.70;27.37;19.77;2.24;Ruim
14.15;1.69;106.77;88.90;34.12;Ruim
279.79;146.89;4.21;91.19;73.40;Ruim
196.69;30.42;133.25;33.93;1.46;Ruim
236.85;264.82;56.86;49.36;4.07;Ruim
323.30;407.24;5.62;56.40;8.82;Ruim
147.75;38.31;22.10;56.42;9.10;Bom
160.45;181.20;184.05;69.38;35.32;Bom
20.76;302.43;43.71;36.62;98.42;Ruim
