K;Ca;Mg
93.84;200.4;138.0
117.3;360.72;92.0
117.3;200.4;46.0
125.12;200.4;92.0
125.12;400.8;92.0
117.3;240.48;46.0
109.47999999999999;320.64000000000004;138.0
125.12;240.48;138.0
125.12;240.48;138.0
109.47999999999999;360.72;46.0
101.66;160.32000000000002;46.0
101.66;320.64000000000004;92.0
117.3;200.4;92.0
125.12;200.4;138.0
132.94;280.56;138.0
132.94;240.48;138.0
117.3;400.8;184.0
125.12;320.64000000000004;92.0
132.94;240.48;46.0
125.12;360.72;92.0
117.3;240.48;92.0
101.66;280.56;138.0
117.3;280.56;92.0
101.66;360.72;184.0
125.12;280.56;92.0
117.3;240.48;46.0
93.84;200.4;92.0
117.3;240.48;46.0
125.12;240.48;92.0
125.12;200.4;92.0
132.94;240.48;92.0
125.12;200.4;92.0
117.3;200.4;92.0
125.12;240.48;92.0
101.66;240.48;92.0
117.3;200.4;92.0
132.94;200.4;92.0
109.47999999999999;240.48;46.0
86.02000000000001;200.4;46.0
70.38;160.32000000000002;92.0
109.47999999999999;240.48;46.0
109.47999999999999;240.48;46.0
101.66;200.4;46.0
78.2;120.24;46.0
109.47999999999999;280.56;138.0
132.94;280.56;46.0
109.47999999999999;280.56;92.0
109.47999999999999;160.32000000000002;92.0
70.38;320.64000000000004;138.0
109.47999999999999;240.48;46.0
101.66;280.56;92.0
93.84;240.48;92.0
156.4;160.32000000000002;46.0
125.12;360.72;138.0
125.12;320.64000000000004;92.0
125.12;280.56;92.0
156.4;240.48;92.0
125.12;320.64000000000004;92.0
125.12;360.72;138.0
132.94;280.56;46.0
125.12;280.56;138.0
125.12;200.4;46.0
117.3;360.72;138.0
117.3;200.4;92.0
132.94;240.48;92.0
187.68;360.72;184.0
132.94;320.64000000000004;92.0
93.84;360.72;184.0
101.66;400.8;184.0
132.94;280.56;92.0
195.5;320.64000000000004;138.0
117.3;280.56;92.0
125.12;320.64000000000004;138.0
148.58;360.72;92.0
101.66;240.48;46.0
101.66;240.48;46.0
101.66;200.4;92.0
117.3;280.56;92.0
109.47999999999999;280.56;46.0
125.12;320.64000000000004;46.0
101.66;240.48;46.0
132.94;280.56;92.0
117.3;280.56;46.0
117.3;200.4;46.0
132.94;200.4;92.0
117.3;200.4;46.0
109.47999999999999;240.48;46.0
172.04000000000002;280.56;92.0
211.14000000000001;160.32000000000002;92.0
391.0;961.92;368.0
336.26;761.52;322.0
430.1;961.92;368.0
344.08000000000004;801.6;322.0
391.0;881.7600000000001;322.0
367.54;961.92;368.0
398.82;1002.0;368.0
383.18000000000006;761.52;414.0
375.36;761.52;414.0
375.36;1082.16;414.0
320.62;721.44;230.0
297.16;881.7600000000001;184.0
312.8;601.2;230.0
351.90000000000003;1002.0;414.0
437.91999999999996;641.2800000000001;322.0
367.54;1042.0800000000002;414.0
86.02000000000001;681.36;276.0
359.71999999999997;1002.0;368.0
484.84;1042.0800000000002;414.0
391.0;1042.0800000000002;230.0
359.71999999999997;1122.24;414.0
422.28000000000003;961.92;460.0
414.46000000000004;921.8399999999999;368.0
312.8;1082.16;552.0
398.82;1002.0;368.0
359.71999999999997;921.8399999999999;322.0
367.54;1002.0;368.0
437.91999999999996;881.7600000000001;368.0
406.64;801.6;460.0
445.74000000000007;681.36;414.0
391.0;921.8399999999999;368.0
406.64;961.92;368.0
359.71999999999997;881.7600000000001;322.0
391.0;921.8399999999999;414.0
344.08000000000004;801.6;322.0
383.18000000000006;801.6;368.0
391.0;721.44;368.0
351.90000000000003;881.7600000000001;368.0
312.8;1082.16;414.0
258.05999999999995;1042.0800000000002;276.0
312.8;801.6;322.0
281.52;921.8399999999999;322.0
422.28000000000003;761.52;276.0
422.28000000000003;841.6800000000001;322.0
453.55999999999995;961.92;368.0
414.46000000000004;761.52;322.0
328.44000000000005;881.7600000000001;368.0
414.46000000000004;841.6800000000001;414.0
312.8;721.44;322.0
445.74000000000007;881.7600000000001;322.0
391.0;921.8399999999999;414.0
312.8;921.8399999999999;414.0
344.08000000000004;681.36;276.0
492.66;1082.16;552.0
508.3;1082.16;414.0
398.82;961.92;368.0
351.90000000000003;841.6800000000001;322.0
406.64;841.6800000000001;368.0
367.54;961.92;414.0
367.54;1242.48;414.0
359.71999999999997;841.6800000000001;368.0
336.26;961.92;368.0
375.36;961.92;414.0
344.08000000000004;921.8399999999999;368.0
375.36;921.8399999999999;414.0
461.38000000000005;921.8399999999999;368.0
461.38000000000005;1042.0800000000002;368.0
484.84;360.72;138.0
398.82;881.7600000000001;368.0
398.82;1002.0;414.0
430.1;881.7600000000001;368.0
359.71999999999997;841.6800000000001;414.0
359.71999999999997;1002.0;414.0
477.02;1042.0800000000002;414.0
320.62;1002.0;414.0
320.62;841.6800000000001;368.0
328.44000000000005;881.7600000000001;414.0
367.54;961.92;414.0
336.26;881.7600000000001;414.0
391.0;1002.0;368.0
336.26;1042.0800000000002;414.0
453.55999999999995;921.8399999999999;414.0
406.64;1002.0;368.0
406.64;801.6;368.0
422.28000000000003;601.2;230.0
523.94;1042.0800000000002;460.0
398.82;1002.0;368.0
445.74000000000007;1082.16;322.0
516.1199999999999;841.6800000000001;276.0
469.2;2004.0;874.0
375.36;1963.9200000000003;736.0
477.02;2044.08;1012.0000000000001
391.0;1803.6000000000001;828.0
414.46000000000004;1963.9200000000003;828.0
391.0;2004.0;828.0
500.48;2084.1600000000003;782.0
492.66;1563.1200000000001;966.0
484.84;1523.04;920.0
437.91999999999996;2124.24;920.0
328.44000000000005;1883.7600000000002;690.0
351.90000000000003;2404.8;552.0
484.84;2685.36;874.0
391.0;1923.84;874.0
477.02;1442.88;782.0
406.64;1803.6000000000001;874.0
398.82;1723.44;828.0
453.55999999999995;2084.1600000000003;828.0
547.4;2204.4;1058.0
406.64;2084.1600000000003;690.0
359.71999999999997;2084.1600000000003;920.0
539.58;2004.0;1150.0
477.02;1963.9200000000003;828.0
351.90000000000003;2244.48;920.0
383.18000000000006;1963.9200000000003;782.0
398.82;2204.4;966.0
406.64;1923.84;874.0
484.84;2084.1600000000003;1058.0
422.28000000000003;1803.6000000000001;1196.0
453.55999999999995;1442.88;966.0
453.55999999999995;1923.84;874.0
453.55999999999995;2004.0;920.0
406.64;1843.6799999999998;736.0
445.74000000000007;1883.7600000000002;1058.0
351.90000000000003;2004.0;874.0
406.64;1923.84;1012.0000000000001
453.55999999999995;1923.84;1012.0000000000001
359.71999999999997;1803.6000000000001;874.0
351.90000000000003;2444.88;1104.0
312.8;2324.64;736.0
375.36;1763.5200000000002;828.0
367.54;1843.6799999999998;874.0
